field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
prot_noncompl_partians_q10,noncompliance_form,,checkbox,"10. Noncompliance 
pertains to
","1, Protocol | 2, GCP | 3, Unit policy | 4, Process | 5, SOP | 6, Regulatory requirements | 7, Other",,,,,,,y,,,,,
prot_desc_compl_q11,noncompliance_form,,notes,11.Description of noncompliance,,,,,,,,y,,,,,
prot_noncomplreason_q12,noncompliance_form,,notes,12.Reason for noncompliance,,,,,,,,y,,,,,
prot_stepstaken_q13,noncompliance_form,,notes,13. Steps taken to correct this noncompliance and to prevent from reoccurrence,,,,,,,,y,,,,,
prot_dateofcorrection_q14,noncompliance_form,,text,14.Due date of correction,,,date_dmy,,,,,y,,,,,
prot_personresponsible_q15,noncompliance_form,,dropdown,15. Responsible Person,,,,,,,,y,,,,,
prot_datereport_q16,noncompliance_form,,text,16. Date reported to sponsor,,,date_dmy,,,,,y,,,,,
prot_datereportec_q17,noncompliance_form,,text,17. Date reported to EC ,,,date_dmy,,,,,y,,,,,
prot_completeby_q19,noncompliance_form,,dropdown,19 . Form completed by ,"1, BC | 2, KB | 3, LS | 4, NC | 5, MB",,,,,,,y,,,,,
iron_patcontactdate_q1_v2,ironsupplement_unplanned,,text,Q1) Date of patient contact,,,date_dmy,,,,,y,,,,,
iron_supferrouspri_q2_v2,ironsupplement_unplanned,,yesno,Q2) Was the oral supplement administered,,,,,,,[iron_patcontactdate_q1_v2] <> '',y,RH,,,,
iron_suppwithheld_q2a_v2,ironsupplement_unplanned,,yesno,Q2a) Was iron supplement withheld,,,,,,,[iron_supferrouspri_q2_v2]='0',,,,,,
iron_suppwithheldreason_q2b_v2,ironsupplement_unplanned,,checkbox,Q2b) Give reason,"1, was it due to confirmed fever (axillary temperature >37.5°C) not associated with teething or vaccination | 2, was it due to visually confirmed bloody diarrhoea | 3, was it due to hospitalisation for somatic illness | 4, Was it due to treatment with antibiotics for any confirmed or suspected somatic infection | 5, was it due to confirmed fever plus dipstick-test confirmed parasitaemia",,,,,,[iron_suppwithheld_q2a_v2] = '1',,LV,,,,
iron_suppamount_q3_v2,ironsupplement_unplanned,,yesno,Q3) Amount received (10 mg),,,,,,,[iron_supferrouspri_q2_v2]='1',y,RH,,,,
iron_suppreceive10mlgreas_q4_v2,ironsupplement_unplanned,,dropdown,Q4) If the child did not receive 10 mg- give reason ,"1, Vomit | 2, Spit out | 3, Refuse",,,,,,[iron_suppamount_q3_v2]='0',,,,,,
iron_supptime_q5_v2,ironsupplement_unplanned,,text,Q5) Time,,,time,,,,[iron_suppamount_q3_v2]='1',y,,,,,
iron_suppgreason_q6_v2,ironsupplement_unplanned,,checkbox,Q6) Give reason,"1, was it due to parent refusal | 2, was it because the child could not be located | 3, other (specify)","Note: In case of 48-hour history of fever as reported by the mother (or guardian) that is not confirmed axillary temperature ≤37.5°C), ask the mother/guardian to bring the child after 6 hours, and repeat measurement",,,,,[iron_suppwithheld_q2a_v2]='0',,LV,,,,
ip_administer_v2,ironsupplement_unplanned,,yesno,"If the child did not receive 10.0mg, was the IP re-administered?",,,,,,,[iron_suppamount_q3_v2]='0',,,,,,
msg_complete_ae_v2,ironsupplement_unplanned,,descriptive,"<center><font size=""4"" color=""green"">Complete AE eCRF</center>",,,,,,,[iron_suppwithheldreason_q2b_v2(1)] = '1' or [iron_suppwithheldreason_q2b_v2(2)] = '1' or [iron_suppwithheldreason_q2b_v2(3)] = '1' or [iron_suppwithheldreason_q2b_v2(4)] = '1' or [iron_suppwithheldreason_q2b_v2(5)] = '1',,,,,,
iron_suppotherspec_q7_v2,ironsupplement_unplanned,,notes,Q7) Specify,,,,,,,[iron_suppgreason_q6_v2(3)] = '1',,,,,,
iron_suppstaffid_q8_v2,ironsupplement_unplanned,,text,Q8) Staff completing form(ID),,,,,,,,y,,,,,@APPUSERNAME-APP
iron_suppverifyby_q9_v2,ironsupplement_unplanned,,dropdown,Q9) Verify by,"1, KB | 2, LS | 3, MB | 4, CC",,,,,,,y,,,,,
wdra_date_q1,withdrawal,,text,Q1) Date of withdrawal,,,date_dmy,,,,,y,,,,,@TODAY
wdra_staff_q2,withdrawal,,text,Q2) Staff completing form(ID),,,,,,,,y,,,,,@APPUSERNAME-APP
wdra_reason_q3,withdrawal,,checkbox,Q3) Reason for withdrawal ,"1, Moved away | 2, Parent/Guardian withdrew consent | 3, PI/SI initiated withdrawal | 4, Severe adverse event | 5, Other medical reason | 6, Died | 7, Other specify",,,,,,,y,,,,,
a_if_other_specify,withdrawal,,text,3a) If other specify?,,,,,,,[wdra_reason_q3(7)] = '1',,,,,,
wdra_comment_q4,withdrawal,,notes,Q5) Additional comments ,,,,,,,,,,,,,
dhth_vdate_q1,dailyhealth,,text,Q1) Visit date,,,date_dmy,,,,,y,,,,,@TODAY
dhth_seentoday_q2,dailyhealth,,yesno,Q2) Was the participant seen today,,,,,,,,y,,,,,
dhth_noreasonvisit_q2a,dailyhealth,,notes,Q2a) Give reason,,,,,,,[dhth_feeltoday_q4] = '0',,,,,,
dhth_vtime_q3,dailyhealth,,text,Q3) Visit time,,,time,,,,[dhth_seentoday_q2] = '1',,,,,,
dhth_feeltoday_q4,dailyhealth,,yesno,"Q4) Does you child feel well today 
",,,,,,,,y,,,,,
stopmsg,dailyhealth,,descriptive,"
<center><font size=""5"" color=""red"">
STOP HERE  </center>
",,,,,,,[dhth_feeltoday_q4]='1',,,,,,
stopmsg_2,dailyhealth,,descriptive,"
<center><font size=""4"" color=""green"">
Continue to question 5  </center>
",,,,,,,[dhth_feeltoday_q4] = '0',,,,,,
dhth_cvomite_q5,dailyhealth,,yesno,Q5) Was your child vomiting,,,,,,,[dhth_feeltoday_q4] = '0',y,,,,,
dhth_ccough_q6,dailyhealth,,yesno,Q6) Was your child coughing,,,,,,,[dhth_feeltoday_q4] = '0',y,,,,,
dhth_nasaldischage_q7,dailyhealth,,yesno,Q7) Was your child experiencing nasal discharge,,,,,,,[dhth_feeltoday_q4] = '0',y,,,,,
dhth_cfever_q8,dailyhealth,,yesno,Q8) Was your child having fever,,,,,,,[dhth_feeltoday_q4] = '0',y,,,,,
stopmsg_3,dailyhealth,,descriptive,"
<center><font size=""4"" color=""green"">
Call the Nurse  </center>
",,,,,,,[dhth_cfever_q8]='1',,,,,,
dhth_cinfection_q9,dailyhealth,,yesno,Q9) Was your child having skin infection,,,,,,,[dhth_feeltoday_q4] = '0',y,,,,,
dhth_ceye_q10,dailyhealth,,yesno,Q10) Was your child having eye infection,,,,,,,[dhth_feeltoday_q4] = '0',y,,,,,
dhth_tooths_q11,dailyhealth,,yesno,Q11) Is your child having tooth's appearance,,,,,,,[dhth_feeltoday_q4] = '0',y,,,,,
dhth_refered_q12,dailyhealth,,yesno,Q12) Was participants referred to another health facility,,,,,,,[dhth_feeltoday_q4] = '0',y,,,,,
dhth_referal_q13,dailyhealth,,notes,Q13) If yes- Give reason for referal,,,,,,,[dhth_refered_q12] = '1',,,,,,
dhth_referaltime_q14,dailyhealth,,text,Q14) Time of referal,,,time,,,,[dhth_refered_q12] = '1',,,,,,
dhth_comments_q15,dailyhealth,,notes,Q15) Additional comments,,,,,,,,,,,,,
dhth_staffid_q16,dailyhealth,,text,Q16) Staff completing form(ID)Staff ID,,,,,,,,y,,,,,@APPUSERNAME-APP
dhth_verifyby_q17,dailyhealth,,dropdown,Q17) Verify by,"1, KB | 2, LS | 3, MB | 4, CC",,,,,,,y,,,,,
ddrr_vdate_q1,daily_diarrhoea_questionaire,,text,Q1) Visit date,,,date_dmy,,,,,y,,,,,@TODAY
ddrr_seentodaydailydiar_q1a,daily_diarrhoea_questionaire,,yesno,Q1a) Was the participant seen today,,,,,,,,y,,,,,
ddrr_novisitdiar_q1b,daily_diarrhoea_questionaire,,notes,Q1b) Give reason,,,,,,,[ddrr_seentodaydailydiar_q1a]='0',,,,,,
ddrr_vtime_q2,daily_diarrhoea_questionaire,,text,Q2) Visit time,,,time,,,,[ddrr_seentodaydailydiar_q1a]='1',y,,,,,
ddrr_stole24hrs_q3,daily_diarrhoea_questionaire,,dropdown,Q3) How many stools did your baby have in the past 24 hours?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,,y,,,,,
ddrr_storecount_q3a,daily_diarrhoea_questionaire,,dropdown,Q3a) Give the count(24 hours)  ,"1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,,,,,,,
ddrr_stoolcolor_q4,daily_diarrhoea_questionaire,,yesno,Q4) Did you notice anything about the colour of the stools of your baby in the past 24hrs ,,,,,,,,y,,,,,
ddrr_stool_color_yn_q4a,daily_diarrhoea_questionaire,,radio,Q4a)  Was it ,"1, Dark | 2, Light | 3, Same | 4, Other (specify)",,,,,,[ddrr_stoolcolor_q4]='1',,,,,,
ddrr_specify_q4b,daily_diarrhoea_questionaire,,text,Q4b) Specify,,,,,,,[ddrr_stool_color_yn_q4a] = '4',,,,,,
ddrr_bldinstool_q5,daily_diarrhoea_questionaire,,yesno,Q5)  Did you notice any blood in your child stool,,,,,,,,y,,,,,
msg_studynurse,daily_diarrhoea_questionaire,,descriptive,"<center><font size=""4"" color=""green"">Refer to the study Nurse! </center>",,,,,,,[ddrr_bldinstool_q5]='1',,,,,,
ddrr_daiqstaff_q6,daily_diarrhoea_questionaire,,text,Q6) Staff completing form(ID),,,,,,,,y,,,,,@APPUSERNAME-APP
ddrr_verifyby_q7,daily_diarrhoea_questionaire,,dropdown,Q7) Verify by,"1, KB | 2, LS | 3, MB | 4, CC",,,,,,,y,,,,,
samp_edta_q1,samplereception,"<div style=""width:100%; color:#FFFFFF; background-color:#4B0082; padding:5px; 
position:relative; top:-5px; left:-5px;""> SECTION 1 : EDTA </font></div>",yesno,Q1) EDTA Received,,,,,,,,y,RH,,,,
if_sample_is_not_received,samplereception,,dropdown,"If sample is not received, give reason ","1, Stool was not collected | 2, stool was collected and stored in Soma | 3, sample missing | 4, sample spilled, | 5, other specify",,,,,,[samp_edta_q1]='0',,,,,,
if_other_specify,samplereception,,notes,if other specify,,,,,,,[if_sample_is_not_received] = '5',,,,,,
samp_edtadate_q1a,samplereception,,text,Q1a) Date of Reception,,,date_dmy,,,,[samp_edta_q1]='1',y,,,,,@TODAY
samp_edtatime_q1b,samplereception,,text,Q1b) Time of Reception,,,time,,,,[samp_edta_q1]='1',y,,,,,
samp_edta_temperature_q1c,samplereception,,yesno,Q1c) Temperature in cold box in range,,,,,,,[samp_edta_q1]='1',y,,,,,
samp_edtacomment_q1d,samplereception,,checkbox,Q1d) Comment,"1, Acceptable standard | 2, Haemolysed | 3, Clotted",,,,,,[samp_edta_q1]='1',y,RH,,,,
samp_edtaby_q1e,samplereception,,text,Q1e) EDTA Received by,,,,,,,,y,,,,,@APPUSERNAME-APP
samp_serumreceived_q2,samplereception,"<div style=""width:100%; color:#FFFFFF; background-color:#4B0082; padding:5px; 
position:relative; top:-5px; left:-5px;""> SECTION 2 : SERUM</font></div>

",yesno,Q2) Serum(SST1) Received,,,,,,,[samp_edta_q1]='1',y,RH,,,,
samp_serumdate_q2b,samplereception,,text,Q2a) Date of reception,,,date_dmy,,,,[samp_edta_q1]='1',y,,,,,@TODAY
samp_serumtime_q2b,samplereception,,text,Q2b) Time of reception,,,time,,,,[samp_edta_q1]='1',y,,,,,
samp_sermtemperature_q2c,samplereception,,yesno,Q2c) Temperature in cold box in range,,,,,,,[samp_edta_q1]='1',y,,,,,
samp_serumcomment_q2d,samplereception,,checkbox,Q2d) Comment,"1, Sufficient | 2, Insufficient | 3, Haemolysed",,,,,,[samp_edta_q1]='1',y,,,,,
samp_serumby_q2e,samplereception,,text,Q2e) Received by,,,,,,,,y,,,,,@APPUSERNAME-APP
samp_urinereceive_q4,samplereception,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div style=""width: 100%; color: #ffffff; background-color: #4b0082; padding: 5px; <br />position: relative; top: -5px; left: -5px;"">Section 3 : Urine</div> </div></div>",yesno,Q4) Urine Received,,,,,,,,,RH,,,,@HIDDEN
samp_urinedate_q4a,samplereception,,text,Q4a) Date of Reception,,,date_dmy,,,,,y,,,,,@HIDDEN
samp_urinetime_q4b,samplereception,,text,Q4b) Time of Reception,,,time,,,,,,,,,,@HIDDEN
samp_urinetemperature_q4c,samplereception,,yesno,Q4c) Temperature in cold box in range,,,,,,,,,,,,,@HIDDEN
samp_urineby_q4d,samplereception,,dropdown,Q4d) Received by,"1, asaidykhan",,,,,,,y,,,,,@HIDDEN
samp_generalcomment_q5,samplereception,,notes,Q5) General Comment,,,,,,,,,,,,,@HIDDEN
samp_formcompleteby_q6,samplereception,"<div style=""width:100%; color:#FFF; background-color:#4B0082; padding:5px;
position:relative; top:-5px; left:-5px;"">
FORM COMPLETION AND  <font color= #B7170E>VERIFICATION</font></div>",text,Q6) Form completed by,,,,,,,,y,,,,,@APPUSERNAME-APP
samp_process_q1,bloodsample_processing,"<div class=""rich-text-field-label""><h1 style=""text-align: center;""><span style=""color: green; font-size: medium;"">SAMPLE PROCESSING</span></h1></div>",checkbox,1.Select samples to be process,"1, EDTA | 2, SERUM",,,,,,,y,,,,,
edta_caption,bloodsample_processing,,descriptive,"<div class=""rich-text-field-label""><center><span style=""color: green; font-size: small;""><br />SAMPLE TYPE :EDTA<br /></span></center></div>",,,,,,,[samp_process_q1(1)] = '1',,,,,,
fbc_assy,bloodsample_processing,,descriptive,"<font size=""2"" color=""green"">ASSAY: FULL BLOOD COUNT",,,,,,,[samp_process_q1(1)] = '1',,,,,,
samp_fbc_q2,bloodsample_processing,,yesno,2. FBC Done,,,,,,,[samp_process_q1(1)] = '1',y,RH,,,,
samp_fbctime_q2b,bloodsample_processing,,text,2b. Time of fullblood count done,,,time,,,,[samp_process_q1(1)] = '1',y,RH,,,,
serum_caption,bloodsample_processing,,descriptive,"<div class=""rich-text-field-label""><center><span style=""color: green; font-size: small;""><br />SAMPLE TYPE : SERUM<br /></span></center></div>",,,,,,,[samp_process_q1(2)] = '1',y,,,,,
samp_serumaliquot_q3,bloodsample_processing,,checkbox,3.List of Aliquots collected,"1, Serum Aliquot 1 | 2, Serum Aliquot 2 | 3, Serum Aliquot 3",,,,,,[samp_process_q1(2)] = '1',y,,,,,
samp_serumaliquot_q3a,bloodsample_processing,,text,3a) Aliquot 1 volume,,,integer,0,,,[samp_serumaliquot_q3(1)] = '1',,RH,,,,
samp_serumaliquot_q3b,bloodsample_processing,,text,3b. Aliquot 2 volume,,,integer,0,,,[samp_serumaliquot_q3(2)] = '1',,RH,,,,
samp_serumaliquot_q3c,bloodsample_processing,,text,3c. Aliquot 3 volume,,,integer,0,,,[samp_serumaliquot_q3(3)] = '1',,RH,,,,
samp_serumaliquot_q3d,bloodsample_processing,,text,3d. Time of serum sample processing,,,time,,,,[samp_process_q1(2)] = '1',y,RH,,,,
samp_comment_q4,bloodsample_processing,,notes,4. General Comment,,,,,,,,,,,,,
tool_receive_q1,stool_processing,"<div class=""rich-text-field-label""><h2 style=""text-align: center;"">Stool Reception</h2></div>",yesno,Q1) Stool Received,,,,,,,,y,,,,,
date_of_reception_q2,stool_processing,,text,Q2) Date of Reception,,,date_dmy,,,,,,,,,,@TODAY
time_of_reception_q3,stool_processing,,text,Q3)Time of Reception,,,time,,,,,y,,,,,
temperature_cold_box_q4,stool_processing,,text,Q4) Temperature in cold box in range,,,,,,,,y,,,,,
received_by_q5,stool_processing,,dropdown,Q5) Received by,"1, asaidykhan",,,,,,,y,,,,,
stoo_aliquot_q6,stool_processing,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""><p style=""text-align: center;"">STOOL SAMPLE PROCESSING</p></div></div>",dropdown,6.List of Aliquots collected,"1, Stool Aliquot 1 | 2, Stool Aliquot 2 | 3, Stool Aliquot 3",,,,,,,y,,,,,
stoo_aliquot_q6a,stool_processing,,text,6a. Aliquot1 volume ,,,,,,,[stoo_aliquot_q6] = '1',,,,,,
stoo_aliquotvol2_6b,stool_processing,,text,6b. Aliquot2 volume ,,,,,,,[stoo_aliquot_q6] = '2',,,,,,
stoo_aliquotvol_q6c,stool_processing,,text,6c. Aliquot3 volume ,,,,,,,[stoo_aliquot_q6] = '3',,,,,,
stoo_aliquotvol_q6d,stool_processing,,text,6d. Time of stool sample processing,,,time,,,,,y,,,,,
stoo_completedate_q7,stool_processing,,text,7.Date form was completed,,,date_dmy,,,,,y,,,,,@TODAY
serm_frename_q1,serumstorage,"<center><font size=""3"" color=""green"">Freezer details</center>",radio,Q1) Name of Freezer,"1, Mars | 2, Pluto",,,,,,,y,,,,,
serm_frezertype_q2,serumstorage,,dropdown,Q2) Select Freezer type,"1, -80 (°C) | 2, -20 (°C)",,,,,,,y,,,,,
serm_dateofstorage_q3,serumstorage,,text,Q3) Date of Storage,,,date_dmy,,,,,y,,,,,@TODAY
serm_storagetime_q4,serumstorage,,text,Q4) Time of storage,,,time,,,,,y,,,,,
serm_sto_biomednumber_q5,serumstorage,,dropdown,"Q5) Biomed Tag number
","1, F60176",,,,,,,y,,,,,
serm_compart_q6,serumstorage,,text,Q6) Compartment,,,integer,1,3,,,y,,,,,
samp_racknumber_q7,serumstorage,,text,"Q7) Rack number
",,,integer,1,12,,,y,,,,,
boxdescription_v2,serumstorage,,descriptive,"<center><font size=""3"" color=""green"">Box description</center>",,,,,,,,,,,,,
samp_bnumber_q8,serumstorage,,text,Q8) Box number ,,,integer,1,100,,,y,,,,,
serm_samplesposition_q9,serumstorage,,text,Q9) Sample Position in the Box,,,integer,1,100,,,y,,,,,
ssto_freename_q1,stoolstorage,,radio,Q1) Freezer name,"1, Mars | 2, Pluto",,,,,,,y,,,,,
ssto_freezertype_q2,stoolstorage,,dropdown,Q2) Freezer type,"1, -80 (°C) | 2, -20 (°C)",,,,,,,y,,,,,
ssto_storedate_q3,stoolstorage,,text,Q3) Date of Storage,,,date_dmy,,,,,y,,,,,@TODAY
ssto_storagetime_q3a,stoolstorage,,text,Q3a) Time of storage,,,time,,,,,y,,,,,
ssto_biomedtagnum_q4,stoolstorage,,dropdown,Q4) Biomed Tag number,"1, F60176",,,,,,,y,,,,,
ssto_racknumber_q5,stoolstorage,,text,Q5) Rack number,,,,,,,,y,,,,,
ssto_compartment_q6,stoolstorage,,text,Q6) Compartment,,,,,,,,y,,,,,
ssto_boxnum_q7,stoolstorage,,text,Q7)  Box Number,,,integer,1,,,,y,,,,,
ssto_sampposition_q8,stoolstorage,,text,Q8) Sample position in the Box,,,,,,,,y,,,,,
crfe_date_q1,clinicreferal,,text,Q1) Date of referral,,,date_dmy,,,,,y,,,,,@TODAY
crfe_location_q2,clinicreferal,,text,Q2) Clinic location,,,,,,,,y,,,,,
crfe_reason_q3,clinicreferal,,notes,Q3) Reason for referral (specify),,,,,,,,y,,,,,
crfe_comments_q4,clinicreferal,,notes,Q4) Additional comments ,,,,,,,,,,,,,
crfe_clinicstaff_q5,clinicreferal,,text,Q5) Staff completing form(ID),,,,,,,,y,,,,,@APPUSERNAME-APP
phmo_vdate_q1,posthealthmonitoring,,text,Q1) Visit date,,,date_dmy,,,,,y,,,,,@TODAY
phmo_vtime_q2,posthealthmonitoring,,text,Q2) Visit time,,,time,,,,,,,,,,
phmo_feeltoday_q3,posthealthmonitoring,,yesno,"Q3) Does you child feel well today 
",,,,,,,,y,,,,,
stopmsg_v2,posthealthmonitoring,,descriptive,"
<center><font size=""5"" color=""red"">
STOP HERE  </center>
",,,,,,,[phmo_feeltoday_q3]='1',,,,,,
stopmsg_2_v2,posthealthmonitoring,,descriptive,"
<center><font size=""4"" color=""green"">
Continue to question 4  </center>
",,,,,,,[phmo_feeltoday_q3]='1',,,,,,
phmo_vaccinated_q4,posthealthmonitoring,,yesno,Q4) Was your child vaccinated in the past week?,,,,,,,,y,,,,,
phmo_datevacc_q5,posthealthmonitoring,,text,Q5) Date vaccinated,,,date_dmy,,,,,,,,,,@TODAY
phmo_vaccname_q6,posthealthmonitoring,,text,Q6) Name of vaccine,,,,,,,,,,,,,
phmo_cvomite_q7,posthealthmonitoring,,yesno,Q7) Was your child vomiting,,,,,,,,y,,,,,
phmo_ccough_q8,posthealthmonitoring,,yesno,Q8) Was your child coughing,,,,,,,,y,,,,,
phmo_nasaldischage_q9,posthealthmonitoring,,yesno,Q9) Was your child experiencing nasal discharge,,,,,,,,y,,,,,
phmo_cfever_q10,posthealthmonitoring,,yesno,Q10) Was your child having fever,,,,,,,,y,,,,,
phmo_nursecall_q10a,posthealthmonitoring,,descriptive,Q10a)Call study Nurse,,,,,,,[phmo_cfever_q10]='1',,,,,,
phmo_stnursecall_q10b,posthealthmonitoring,,descriptive,Q10b) Call study Nurse,,,,,,,[phmo_cfever_q10]='1',,,,,,
phmo_cinfection_q11,posthealthmonitoring,,yesno,Q11) Was your child having skin infection,,,,,,,,y,,,,,
phmo_ceyeinfection_q12,posthealthmonitoring,,yesno,Q12) Was your child having eye infection,,,,,,,,y,,,,,
phmo_toothsapper_q13,posthealthmonitoring,,yesno,Q13) Is your child having tooth's appearance,,,,,,,,y,,,,,
phmo_partrefered_q14,posthealthmonitoring,,yesno,Q14) Was participants referred to another health facility,,,,,,,,y,,,,,
phmo_reasreferal_q14a,posthealthmonitoring,,notes,Q14a)  If yes- Give reason for referal,,,,,,,[phmo_partrefered_q14]='1',,,,,,
phmo_referaltime_q14b,posthealthmonitoring,,text,Q14b) Time of referal,,,time,,,,[phmo_partrefered_q14]='1',,,,,,
phmo_concernhealth_q15,posthealthmonitoring,,yesno,Q15) Is Mom concern about child 's health and wants to speak to a Nurse?,,,,,,,,y,,,,,
phmo_refersurse_q16,posthealthmonitoring,,descriptive,Q16) Refer to study Nurse,,,,,,,,,,,,,
phmo_comments_q17,posthealthmonitoring,,notes,Q17) Additional comments,,,,,,,,,,,,,
phmo_compstaffid_q18,posthealthmonitoring,,text,18) Staff completing form(ID)Staff ID,,,,,,,,y,,,,,@APPUSERNAME-APP
sysm_wbc_q1,sysmexresult,,text,Q1) WBC,,,number,,,,,y,,,,,
sysm_rbc_q2,sysmexresult,,text,Q2) RBC,,,number,,,,,y,,,,,
sysm_hgb_q3,sysmexresult,,text,Q3) HGB,,,number,,,,,y,,,,,
sysm_htc_q4,sysmexresult,,text,Q4) HCT,,,number,,,,,y,,,,,
sysm_mcv_q5,sysmexresult,,text,Q5) MCV,,,number,,,,,y,,,,,
sysm_mch_q6,sysmexresult,,text,Q6) MCH,,,number,,,,,y,,,,,
sysm_mchc_q7,sysmexresult,,text,Q7) MCHC,,,number,,,,,y,,,,,
sysm_plt_q8,sysmexresult,,text,Q8) PLT,,,number,,,,,y,,,,,
sysm_rwd_sd_q9,sysmexresult,,text,Q9) RWD-SD,,,number,,,,,y,,,,,
sysm_rwd_cv_q10,sysmexresult,,text,Q10) RWD-CV,,,number,,,,,y,,,,,
sysm_pdw_q11,sysmexresult,,text,Q11) PDW,,,,,,,,y,,,,,
sysm_mpv_q12,sysmexresult,,text,Q12) MPV,,,,,,,,y,,,,,
sysm_p_lcr_q13,sysmexresult,,text,Q13) P-LCR,,,,,,,,y,,,,,
sysm_pct_q14,sysmexresult,,text,Q14) PCT,,,,,,,,y,,,,,
sysm_neut_q15,sysmexresult,,text,Q15) NEUT#,,,number,,,,,y,,,,,
sysm_lymph_q16,sysmexresult,,text,Q16) LYMPH #,,,number,,,,,y,,,,,
sysm_mono_q17,sysmexresult,,text,Q17) MONO #,,,number,,,,,y,,,,,
sysm_eo_q18,sysmexresult,,text,Q18) EO # ,,,number,,,,,y,,,,,
sysm_baso_q19,sysmexresult,,text,Q19) BASO # ,,,number,,,,,y,,,,,
sysm_neut_percent_q20,sysmexresult,,text,"Q20) NEUT (%)
",,,number,,,,,y,,,,,
sysm_lymph_percent_q21,sysmexresult,,text,Q21) LYMPH %,,,number,,,,,y,,,,,
sysm_mono_percent_q22,sysmexresult,,text,Q22) MONO %,,,number,,,,,y,,,,,
sysm_eo_percent_q23,sysmexresult,,text,Q23) EO %,,,number,,,,,y,,,,,
sysm_baso_percent_q24,sysmexresult,,text,Q24) BASO % ,,,number,,,,,y,,,,,
sysm_ig_q25,sysmexresult,,text,Q25) IG #,,,number,,,,,y,,,,,
sysm_ig_percent_q26,sysmexresult,,text,Q26) IG %,,,number,,,,,y,,,,,
sysm_micror_q27,sysmexresult,,text,Q27) MicroR,,,number,,,,,y,,,,,
sysm_macror_q28,sysmexresult,,text,Q28) MacroR,,,number,,,,,y,,,,,
sysm_ret_q29,sysmexresult,,text,Q29) RET #,,,number,,,,,y,,,,,
sysm_ret_percent_q30,sysmexresult,,text,Q30) RET % ,,,,,,,,y,,,,,
sysm_irf_q31,sysmexresult,,text,Q31) IRF ,,,number,,,,,y,,,,,
sysm_lfr_q32,sysmexresult,,text,Q32) LFR ,,,,,,,,y,,,,,
sysm_mfr_q33,sysmexresult,,text,Q33) MFR,,,number,,,,,y,,,,,
sysm_hfr_q34,sysmexresult,,text,Q34) HFR,,,number,,,,,y,,,,,
sysm_ret_he_q35,sysmexresult,,text,Q35) RET-He,,,number,,,,,y,,,,,
sysm_nrbc_q36,sysmexresult,,text,Q36) NRBC #,,,number,,,,,y,,,,,
sysm_nrbc_percent_q37,sysmexresult,,text,Q37) NRBC %,,,number,,,,,y,,,,,
sysm_validated_by_q38,sysmexresult,,notes,Q38) Validated by,,,,,,,,,,,,,
eryt_concentration_q1,erythroferroneresult_2,,text,Q1) Erythroferrone Concentration (ng/mL),,,,,,,,y,,,,,
eryt_dateproc_q2,erythroferroneresult_2,,text,Q2) Date uploaded.,,,date_dmy,,,,,y,,,,,@TODAY
hepc_hepconcentration_q1,hepcidineresults,,text,"Q1) Hepcidin Concentration(ng/mL)
",,,number,,,,,y,,,,,
hepc_dateproc_q2,hepcidineresults,,text,Q2) Date processed,,,datetime_dmy,,,,,,,,,,@TODAY
epo_dateproc_q3,erythroferroneresult,,text,Date uploaded.,,,date_dmy,,,,,y,,,,,@TODAY
epo_erythropoietinconc_q2,erythroferroneresult,,text,Q1) Erythropoietin Concentration (mIU/mL),,,,,,,,y,,,,,
irop_datetime_q1,ironpanel1,,text,Q1) Date&Time,,,datetime_dmy,,,,,y,,,,,@TODAY
irop_aagp_q2,ironpanel1,,text,Q2) AAGP2,,,,,,,,,,,,,
irop_crpl_q3,ironpanel1,,text,Q3) CRPL2,,,number,,,,,,,,,,
irop_fer2p_q4,ironpanel1,,text,Q4) FER2P,,,number,,,,,,,,,,
irop_iron2_q5,ironpanel1,,text,Q5) IRON2,,,number,,,,,,,,,,
irop_stfr_q6,ironpanel1,,text,Q6) STFR,,,number,,,,,,,,,,
irop_trsf2_q7,ironpanel1,,text,Q7) TRSF2,,,number,,,,,,,,,,
irop_uibci_q8,ironpanel1,,text,Q8) UIBCI,,,number,,,,,,,,,,
iron_datetime_q1,ironpanel1_2,,text,Q1) Date&Time,,,datetime_dmy,,,,,y,,,,,@TODAY
iron_results_q2,ironpanel1_2,,text,Q2) Results,,,number_2dp,,,,,y,,,,,
inte_treatment_q1,intervention,,dropdown,Q1) Treatment,"A, A | B, B",,,,,,,,,,,,
medo_date_q1,medonicresult,,text,Q1) Date,,,date_dmy,,,,,y,,,,,@TODAY
medo_time_q2,medonicresult,,text,Q2) Time,,,time,,,,,y,,,,,
medo_rbc_q3,medonicresult,,text,Q3) RBC,,,number_2dp,,,,,y,,,,,
medo_mvc_q4,medonicresult,,text,Q4) MCV,,,number_1dp,,,,,y,,,,,
medo_rdw_q5,medonicresult,,text,Q5) RDW%,,,number_1dp,,,,,y,,,,,
